type,accuracy,confidence,acc_delta,conf_delta
baseline,0.8617021276595744,0.8140688434190361,0.0,0.0
description_mismatch,0.27819148936170207,0.7891342670537849,-0.5835106382978723,-0.024934576365251204
paraphrase,0.8627659574468085,0.7994646409371248,0.0010638297872340718,-0.0146042024819113
negation_injection,0.848936170212766,0.7995809222122403,-0.012765957446808418,-0.014487921206795762
vague_description,0.8367021276595745,0.7621480061081468,-0.02499999999999991,-0.051920837310889256
description_overload,0.8531914893617023,0.8091626227090254,-0.00851063829787213,-0.004906220710010678
suffix_noise_injection,0.8638297872340426,0.8051231325696493,0.0021276595744681437,-0.008945710849386779
prefix_noise_injection,0.850531914893617,0.800941479119228,-0.011170212765957421,-0.013127364299808097
interleaved_noise_injection,0.8345744680851064,0.8243343473085144,-0.027127659574468055,0.010265503889478333
