type,accuracy,confidence,acc_delta,conf_delta
baseline,0.6170212765957447,0.6580201859011295,0.0,0.0
description_mismatch,0.1675531914893617,0.6292841636701256,-0.449468085106383,-0.02873602223100391
paraphrase,0.5909574468085107,0.6494281320396731,-0.026063829787233983,-0.00859205386145645
negation_injection,0.6106382978723405,0.6425865505168096,-0.006382978723404209,-0.015433635384319966
vague_description,0.5191489361702126,0.6473075844327661,-0.09787234042553206,-0.010712601468363392
description_overload,0.5723404255319148,0.6423710383038888,-0.04468085106382991,-0.015649147597240787
suffix_noise_injection,0.5973404255319149,0.6581698667337286,-0.019680851063829774,0.00014968083259903064
prefix_noise_injection,0.5696808510638298,0.6525138163674913,-0.047340425531914865,-0.005506369533638256
interleaved_noise_injection,0.5329787234042553,0.6411839305660985,-0.08404255319148934,-0.01683625533503108
